title,author,rating,reviews,price,description,listening time,genre
think like a monk: the secret of how to harness the power of positivity and be happy now,jay shetty,4.9,313.0,10080.0,"over the past three years, jay shetty has become one of the world’s most popular influencers. one of his clips was the most watched video on facebook last year, with more than 360 million views. his social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, on purpose, is consistently ranked the world’s number one health-related podcast.",10 hours and 54 minutes,",#1 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in personal success,#1 in stress management,#2 in society & culture (books)"
ikigai: the japanese secret to a long and happy life,héctor garcía,4.6,3658.0,615.0,brought to you by penguin.,3 hours and 23 minutes,",#2 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in meditation (audible audiobooks & originals),#1 in self-esteem,#2 in personal success"
the subtle art of not giving a f*ck: a counterintuitive approach to living a good life,mark manson,4.4,20174.0,10378.0,"in this generation-defining self-help guide, a superstar blogger cuts through the crap to show us how to stop trying to be positive all the time so that we can truly become better, happier people.",5 hours and 17 minutes,",#3 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#3 in personal success,#16 in personal development & self-help"
atomic habits: an easy and proven way to build good habits and break bad ones,james clear,4.6,4614.0,888.0,brought to you by penguin.,5 hours and 35 minutes,",#5 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in psychology (audible audiobooks & originals),#3 in stress management,#4 in personal success"
life's amazing secrets: how to find balance and purpose in your life,gaur gopal das,4.6,4302.0,1005.0,"stop going through life,  start growing through life!",6 hours and 25 minutes,",#6 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in literary essays,#1 in essays (books),#1 in spiritualism"
extraordinary leadership,robin sharma,4.1,179.0,0.0,"by completing your purchase you agree to audible’s  conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.",1 hour and 6 minutes,",#1 free in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in leadership,#1 in business careers"
sapiens,yuval noah harari,4.6,19994.0,1093.0,fire gave us power. farming made us hungry for more. money gave us purpose. science made us deadly.,15 hours and 18 minutes,",#4 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in anthropology (audible audiobooks & originals),#1 in history of civilization,#2 in anthropology (books)"
the intelligent investor rev ed.,benjamin graham,4.4,9253.0,18290.0,the classic text annotated to update graham's timeless wisdom for today's market conditions,17 hours and 48 minutes,",#7 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in personal finance,#1 in investing & trading,#4 in analysis & strategy"
rich dad poor dad: what the rich teach their kids about money - that the poor and middle class do not!,robert t. kiyosaki,4.5,21936.0,837.0,rich dad poor dad will….,6 hours and 9 minutes,",#9 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#2 in personal finance,#2 in investing & trading,#39 in personal development & self-help"
the 5am club: own your morning. elevate your life.,robin sharma,4.4,5082.0,8735.0,"legendary leadership and elite performance expert robin sharma introduced the 5am club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",11 hours and 4 minutes,",#8 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in sleep disorders,#6 in personal success,#8 in healthy living & wellness"
dream with your eyes open: an entrepreneurial journey,ronnie screwvala,3.6,43.0,0.0,"utv founder and pioneer of the media industry ronnie screwvala is one of india’s most successful first-generation entrepreneurs. an avid philanthropist, he has penned dream with your eyes open: an entrepreneurial journey as one of the most inspiring entrepreneurial self-help books. pictured relaxed and content on the cover page of the book, screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.",7 hours and 19 minutes,",#2 free in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in entrepreneurship (audible audiobooks & originals),#1 in small businesses,#1 in business management"
influence: the psychology of persuasion,robert b. cialdini,4.4,3766.0,12356.0,"influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings.",10 hours and 6 minutes,",#11 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in consumer behaviour,#1 in marketing (audible audiobooks & originals),#1 in earth sciences books"
the sandman,neil gaiman,5.0,1.0,1171.0,"please note: this content is not for kids. it is for mature audiences only. just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. discretion is advised.",10 hours and 54 minutes,",#16 in audible audiobooks & originals (see top 100 in audible audiobooks & originals),#1 in epic fantasy,#1 in dark fantasy,#16 in fantasy (books)"
